modelYear,make,model,summary,source,date,text_clean,cluster,type_retour,confidence,composant,probleme,gravite,impact_securite,signal_faible
,toyota,grand highlander,i purchased this vehicle in canada and i need to use this vehicle in united states roads as well. toyota is reluctant to confirm this vehicle is meeting federal motor vehicle safety standards   except labelling and it is safe to drive in united states roads. this vehicle is equipped with tpms but it is not listed as a part present in the vehicle which makes me worry. request you to probe this requirement and make me and my loved ones feel safe in driving this vehicle.,review,2023-11-03,i  this vehicle in canada and i need to use this vehicle in united states roads as well  toyota is  to confirm this vehicle is meeting federal motor vehicle safety  except  and it is safe to drive in united states roads  this vehicle is  with tpms but it is not listed as a part present in the vehicle which makes me worry  request you to probe this  and make me and my loved ones feel safe in driving this vehicle,0,demande,0.85,,,,False,False
2007,ford,freestyle," i got talked into this car and have regretted it ever since. it has always given me problems. the surging issue being the most scary. in parking lots, at stop lights, whenever idling the stupid thing just surges forward or in reverse and i've nearly hit people and other cars many times! my foot is completely on the break and it just takes off. it has left me stranded, and i have 3 small children. now its not shifting out of first gear and the abs light just came on too. i hate this car. praying it doesn't cost me an arm and a leg to fix. ford..you really need to take this seriously and recall these issues! they are dangerous and your going to end up getting sued. ",sav,2023-08-08,i got talked into this car and have  it ever since  it has always given me   the surging issue being the most scary  in parking lots  at stop lights   idling the stupid thing just surges forward or in reverse and i ve nearly hit people and other cars many times  my foot is  on the break and it just takes off  it has left me   and i have   small   now its not  out of first gear and the abs light just came on too  i hate this car  praying it doesn t cost me an arm and a leg to fix  ford  you really need to take this  and recall these issues  they are  and your going to end up getting sued,2,reclamation_garantie,0.9,transmission,surging issue causing unintended acceleration,elevee,True,True
,mazda,cx-5,"vehicle was on a city street traveling at 35-40 mph when the front left wheel (yokohama geolandar g91) spontaneously blew out despite not colliding with any objects or road hazards. as a result, driver side curtain and seat airbags erroneously deployed and the vehicle immediately shutoff, causing disorientation and temporary loss of hearing in one ear.",review,2025-01-30,vehicle was on a city street  at       mph when the front left wheel    g     blew out despite not  with any objects or road hazards  as a result  driver side curtain and seat airbags   and the vehicle  shutoff  causing  and  loss of hearing in one ear,4,plainte,0.9,autre,pneu avant gauche a éclaté sans raison apparente,elevee,True,True
,gmc,sierra 1500,"the contact owns a 2019 gmc sierra 1500. the contact stated that the rearview camera displayed a black screen while the vehicle was in reverse(r). the contact stated that the failure obstructed driving visibility, preventing the driver from safely operating the vehicle. the vehicle was taken to the dealer; however, the contact was informed by the dealer that the part needed for the recall repair was not available. the vehicle was not repaired. the contact stated that the failure persisted. the manufacturer was not notified of the failure. the failure mileage was unknown.",review,2024-02-16,the contact owns a      gmc sierra       the contact stated that the  camera  a black screen while the vehicle was in reverse r   the contact stated that the failure  driving    the driver from safely  the vehicle  the vehicle was taken to the dealer  however  the contact was  by the dealer that the part needed for the recall repair was not   the vehicle was not   the contact stated that the failure   the  was not  of the failure  the failure mileage was unknown,5,reclamation_garantie,0.9,electronique,écran noir de la caméra en marche arrière,moyenne,True,True
,chevrolet,silverado 1500,"door actuator failure left rear door, symptoms are the door doesnt lock and unlock from the switch or keyless, when this problem presents it self the door fails to open from the inside. like child safety is on/when it is not engaged, this could be a safety risk to someone trying to exit the vehicle quickly and not know that they have a problem.  after inspection i found there was a broken pin in the oem connector, yes i have it available for inspection. no problem wasn't reproduced or confirmed at a dealer. no inspection from manufacture, police, ins etc... there weren't any warnings, door lock just worked intermittently.",review,2024-08-14,door  failure left rear door   are the door doesnt lock and unlock from the switch or keyless  when this problem  it self the door fails to open from the inside  like child safety is on when it is not engaged  this could be a safety risk to someone trying to exit the vehicle quickly and not know that they have a problem  after  i found there was a broken pin in the oem   yes i have it  for   no problem wasn t  or  at a dealer  no  from   police  ins etc    there weren t any   door lock just worked,4,plainte,0.9,autre,porte arrière gauche ne se verrouille pas et ne s'ouvre pas de l'intérieur,élevée,True,False
,ford,transit,"when i collided with a ford truck all my air bags deployed as they should, i could not move without intense pain in my lower back so i sat in place until removed by ems.  after partial recovery i examined the vehicle and saw that the seat belt anchor bolt over my shoulder had bulled out of the pillar behind my seat (not the floor).  i was on a city street moving at about 45 mph.  a truck turned in front of me and we collided head to head.  damage on my vehicle was primarily on the front drivers side.",review,2024-09-18,when i  with a ford truck all my air bags  as they should  i could not move without intense pain in my lower back so i sat in place until removed by ems  after partial  i  the vehicle and saw that the seat belt anchor bolt over my  had bulled out of the pillar behind my seat  not the floor   i was on a city street moving at about    mph  a truck turned in front of me and we  head to head  damage on my vehicle was  on the front drivers side,4,plainte,0.9,carrosserie,ancrage de la ceinture de sécurité défectueux,élevée,True,False
,chevrolet,tahoe,"the contact owns a 2017 chevrolet tahoe. the contact stated while the vehicle was at a red light, parked, or while driving at undisclosed speeds, the vehicle shuddered abnormally. the check engine warning light was illuminated. the vehicle was taken to an independent mechanic where it was diagnosed and determined that the fuel injectors needed to be replaced. the independent mechanic made the contact aware of an unknown nhtsa campaign number; however, the vin was not included. the vehicle was not repaired. the manufacturer was not notified of the failure. the failure mileage was approximately 126,000.",review,2025-09-29,the contact owns a       tahoe  the contact stated while the vehicle was at a red light  parked  or while driving at  speeds  the vehicle    the check engine warning light was   the vehicle was taken to an   where it was  and  that the fuel  needed to be   the   made the contact aware of an unknown nhtsa  number  however  the vin was not   the vehicle was not   the  was not  of the failure  the failure mileage was,6,reclamation_garantie,0.9,moteur,le témoin de vérification du moteur s'allume,moyenne,False,True
,lincoln,mkx,"vehicle (suv) floor board and truck had standing water from unknown source. suspect rear hatch and/or glass roof design allows for environmental contamination to enter. water travels down to floor and pools. for example, spare tire was found to be submerged. rear seat and trunk carpeting were moist (saturated) to the touch.   concern: if water in the vehicle is undetected and is allowed to pool for long periods of time,  three things will happen: 1. accelerated corrosion and loss of function for any electrical wiring.  2. standing water can develop mold, impacting air quality through long term and repeated exposure. impact of vehicle occupants health. (in our instance, mom & newborn)  3. accelerated corrosion of vehicle internal structure. for example, seat fasteners.  item was discovered by third party service center and dealership is investigating root cause now. dealer commented this is a problem more common with other models in the same family but not the model of this vehicle.   no warning or indicator of the problem was present.",review,2023-11-30,vehicle  suv  floor board and truck had  water from unknown source  suspect rear hatch and or glass roof design allows for   to enter  water travels down to floor and pools  for example  spare tire was found to be   rear seat and trunk  were moist    to the touch  concern  if water in the vehicle is  and is allowed to pool for long periods of time  three things will happen       and loss of  for any  wiring      water can develop mold   air quality through long term and    impact of vehicle  health   in our   mom   newborn       of vehicle    for example  seat   item was  by third party service center and  is  root cause now  dealer  this is a problem more common with other models in the same family but not the model of this vehicle  no warning or  of the problem was present,4,plainte,0.9,carrosserie,fuite d'eau dans le véhicule,moyenne,True,True
,ford,focus,"the contact owns a 2016 ford focus. the contact stated while attempting to move off from a red light, the vehicle was shuddering. additionally, while shifting from first or second gear the vehicle would shudder. occasionally, while idling at a stop light the rpm fluctuated as if the vehicle would stall. the contact took the vehicle to the dealer who diagnosed that the clutch plates failed and needed to be replaced. the vehicle had not been repaired. the contact stated that the vehicle was not included in nhtsa campaign numbers: 18v169000 (power train) or 18v845000 (power train). the manufacturer was made aware of the failure and informed the contact that the vin was not included. the approximate failure mileage was 75,124.",review,2025-05-10,the contact owns a      ford focus  the contact stated while  to move off from a red light  the vehicle was     while  from first or second gear the vehicle would shudder    while idling at a stop light the rpm  as if the vehicle would stall  the contact took the vehicle to the dealer who  that the clutch plates failed and needed to be   the vehicle had not been   the contact stated that the vehicle was not  in nhtsa  numbers    power train  or   power train   the  was made aware of the failure and  the contact that the vin was not   the  failure mileage was,6,reclamation_garantie,0.9,transmission,clutch plates failed,moyenne,False,True
2021,ford,puma,le mode électrique se coupe tout seul et repasse en thermique,synthetic_fr,2023-10-06,le mode électrique se coupe tout seul et repasse en,0,plainte,0.9,autre,le mode électrique se coupe tout seul,moyenne,False,True
,ford,fusion,"hello. recently it was discovered by my mechanic when they were doing an oil change that there was a crack discovered between the engine and transmission. this crack appeared to be a part of the flex plate which has been causing transmission fluid to leak and ultimately losing power in some cases when driving. when doing research, my vehicle did not come up under recall looking everywhere i could with my vin#. i’m afraid for my safety and the safety of my family. a picture uploaded below will show the crack and some transmission fluid visibly leaking. please help. my vehicle currently has 55,646 miles.",review,2025-03-12,hello   it was  by my  when they were doing an oil change that there was a crack  between the engine and   this crack  to be a part of the flex plate which has been causing  fluid to leak and  losing power in some cases when driving  when doing   my vehicle did not come up under recall looking  i could with my vin   i m afraid for my safety and the safety of my family  a picture  below will show the crack and some  fluid visibly leaking  please help  my vehicle  has        miles,1,reclamation_garantie,0.9,moteur,fissure entre le moteur et la plaque flexible causant des fuites de fluide,elevee,True,True
2011,kia,soul, i had this car for almost 3 years and i loved every minute in it. i was extremely comfortable. the seats fit me perfectly and and a lot of head and leg room. it also had great gas mileage. $40 would fill it up and i could go almost 400 miles before i would fill it again. it did have small problems though. i didn't like the steering that much. it felt stiff and i'm not a fan of stiff steering. also the accelerator wasn't very smooth. these tine problems aside i never had any other issues with this car. it was a great car for the money. i put a total of 83000 miles on mine and only did regular maintenance on it. i would recommend getting this car to anybody.,sav,2024-05-25,i had this car for almost   years and i loved every minute in it  i was    the seats fit me  and and a lot of head and leg room  it also had great gas mileage      would fill it up and i could go almost     miles before i would fill it again  it did have small  though  i didn t like the  that much  it felt stiff and i m not a fan of stiff   also the  wasn t very smooth  these tine  aside i never had any other issues with this car  it was a great car for the money  i put a total of       miles on mine and only did regular  on it  i would  getting this car to anybody,0,avis,0.9,autre,sièges trop rigides et direction pas très fluide,faible,False,False
,kia,sorento,"1. i have been complaining about the vehicle turning off by itself. no one is listening to me or telling me what is causing the problem. i have numerous witnesses when the car turns off by itself. it isn’t safe. it could cause a deadly accident. no it’s not the auto shut off either. i have to put the car in park and hope it restarts each time. 2. when auto shut off is in use the vehicle stalls leading it to act like it’s trying to get fuel to move and turns off. i’ve come too close to having accidents. i never know when it will do it. sometimes i don’t drive it because i don’t want to be held liable for causing an accident and harming somebody's life. 3. i had been complaining to them that i smelled something burning but i couldn’t identify it. i asked them to keep my car and check it out and they refused. while driving in the hottest summer the ac goes out. i immediately took it to the dealership. the worker said we can’t fix it. it'll be a week before they will take my vehicle. the lady was rude and said go to another dealership. it was too hot not to have ac then on top of that it rained the rest of the week and i wasn’t able to work because i couldn’t defog my windows to drive. it finally stopped raining and i was able to get another dealership to check it out and they told me something had burned up that makes the ac work ( i have the paperwork). if they would have checked the car like i asked when i first started complaining about smelling the burning smell  this could have been avoided. also, i don’t get notifications about recalls via mail, phone, call, email etc.",review,2025-07-19,i have been  about the vehicle turning off by itself  no one is  to me or telling me what is causing the problem  i have   when the car turns off by itself  it isn t safe  it could cause a deadly   no it s not the auto shut off either  i have to put the car in park and hope it  each time     when auto shut off is in use the vehicle stalls leading it to act like it s trying to get fuel to move and turns off  i ve come too close to having   i never know when it will do it   i don t drive it because i don t want to be held liable for causing an  and harming  s life     i had been  to them that i smelled  burning but i couldn t  it  i asked them to keep my car and check it out and they refused  while driving in the hottest summer the ac goes out  i  took it to the   the worker said we can t fix it  it ll be a week before they will take my vehicle  the lady was rude and said go to another   it was too hot not to have ac then on top of that it rained the rest of the week and i wasn t able to work because i couldn t defog my windows to drive  it finally stopped raining and i was able to get another  to check it out and they told me  had burned up that makes the ac work   i have the    if they would have checked the car like i asked when i first started  about  the burning smell this could have been avoided  also  i don t get  about recalls via mail  phone  call  email etc,2,plainte,0.9,moteur,le véhicule s'éteint tout seul,elevee,True,True
,chevrolet,silverado 1500,vehicle defect appears related to recall but dealership is unable to identify without tear down of engine. previous dealership when first reported non responsive. manufacturer refusing to further fix and or resolve outstanding safety issue of major safety concern.,review,2025-06-01,vehicle defect appears related to recall but  is unable to  without tear down of engine    when first  non     to further fix and or resolve  safety issue of major safety concern,5,reclamation_garantie,0.9,moteur,défaut de véhicule lié à un rappel,elevee,True,False
,ford,explorer,"i had complete engine failure on my 2021 115,000 mi ford explorer st. the truck was only 3 years old. i heard a knocking noise and pulled over. throughout the summer smoke had been coming out of the exhaust pipe every time i turned on the car before work. there was a cloud of smoke. a week before the engine failure i had the vehicle in the ford shop. they said everything was fine. i towed the vehicle to currie ford in frankfort and they stated that there was catastrophic engine failure. nothing could be done but i needed to put a new $12,000 engine in a $63,000 car. they said the warranty did not cover nor do i have any recourse. the safety of my family was placed at risk., i was travelling with my family, my wife, son, daughter, nephew who is [xxx]  old and niece who is [xxx] . it left us stranded. there were no warnings. the dealership inspected the car a week before and said it was good to go.  information redacted pursuant to the freedom of information act (foia), 5 u.s.c. 552(b)(6)",review,2025-02-11,i had  engine failure on my              mi ford  st  the truck was only   years old  i heard a  noise and pulled over   the summer smoke had been coming out of the exhaust pipe every time i turned on the car before work  there was a cloud of smoke  a week before the engine failure i had the vehicle in the ford shop  they said  was fine  i towed the vehicle to currie ford in  and they stated that there was  engine failure  nothing could be done but i needed to put a new         engine in a         car  they said the  did not cover nor do i have any   the safety of my family was placed at risk   i was  with my family  my wife  son    nephew who is  xxx  old and niece who is  xxx    it left us   there were no   the   the car a week before and said it was good to go     to the freedom of  act  foia     u s c      b,1,reclamation_garantie,0.9,moteur,panne moteur,elevee,True,True
,chevrolet,trax,"i have a 2017 chevy trax with a 1.4l turbo.  i have around 82,000 miles on it. last week it started running rough so i checked the oil and there was none. and then realized the intake gasket was completely shot. brought it to the dealer and they found that cylinder 3 ring was shot. that being said they wanted 2500 for a rebuild and when i asked if i would get some assistance from gm it came down to i wasn't a loyal customer they weren't going to help. just because all service wasn't done there. and now i have a car with a bad motor at 82k miles. to me that seems like a a defective ring from when the motor was built. they say no of course. i'm very in satisfied and in awe on this situation.  i will never purchase another vehicle from chevy again.",review,2025-02-24,i have a      chevy trax with a    l turbo  i have around        miles on it  last week it started running rough so i checked the oil and there was none  and then  the intake gasket was  shot  brought it to the dealer and they found that    ring was shot  that being said they wanted      for a rebuild and when i asked if i would get some  from gm it came down to i wasn t a loyal  they weren t going to help  just because all service wasn t done there  and now i have a car with a bad motor at   k miles  to me that seems like a a  ring from when the motor was built  they say no of course  i m very in  and in awe on this   i will never  another vehicle from chevy again,1,reclamation_garantie,0.9,moteur,moteur en mauvais état avec un joint d'admission défectueux,élevée,True,True
,honda,accord,both daylight running lights (dlrs) stopped working. they are half illuminated and a safety hazard. absolutely unacceptable as it is hazardous.,review,2025-09-13,both  running lights  dlrs  stopped working  they are half  and a safety hazard    as it is,7,reclamation_garantie,0.9,electronique,les feux de jour ont cessé de fonctionner,moyenne,True,True
,ford,bronco sport,vehicle makes load screeching and moaning sounds whenever the car is in reverse -noticed the day after purchase 9/12/2024 and continues to do so- ford states it is a known recall that they have yet to have fix for?,review,2024-03-19,vehicle makes load  and moaning sounds  the car is in reverse  noticed the day after            and  to do so  ford states it is a known recall that they have yet to have fix for,5,reclamation_garantie,0.9,transmission,bruits forts et gémissements en marche arrière,moyenne,True,True
,nissan,murano,"is the pearl white paint peeling off the car all over i cannot drive it in the rain. the paint falls off. i cannot wash it but paint peels off the car only has 42,000 miles on it. i bought it brand new it started in july i have went to several dealerships and consumer affairs, and no one seems to help me. it is all over the internet. this is not due to any warranty. this is a product before it was built. the paint is no good the car is worthless the way it looks i’ve taken very good care of this car. it’s been stored in a garage. i’m the  one drives it. there’s nothing else wrong with the car except the paint is coming off when i go down the highway.",review,2023-06-01,is the pearl white paint peeling off the car all over i cannot drive it in the rain  the paint falls off  i cannot wash it but paint peels off the car only has        miles on it  i bought it brand new it started in july i have went to several  and  affairs  and no one seems to help me  it is all over the   this is not due to any   this is a product before it was built  the paint is no good the car is  the way it looks i ve taken very good care of this car  it s been stored in a garage  i m the one drives it  there s nothing else wrong with the car except the paint is coming off when i go down the highway,4,reclamation_garantie,0.9,carrosserie,peinture perlée qui s'écaille,moyenne,False,True
,subaru,forester,"when i stop the vehicle and put in park, i cannot not turn car off or pull out key. i put car back in drive and drive a few feet forward or back. after putting in park again, i can then turn car off and pull key out. it is now happening more frequently, like every time i drive it. also sometimes have trouble turning the key  to start the car. have had problems periodically for several years. now its getting to be a regular problem. very dangerous when you cannot turn the car off. and it will probably get worse with snowy weather. a safety issue. i see there is a nhtsa safety bulletin #10155220 that lists this problem. it looks like an existing problem with subarus. not sure why there is no recall?",review,2025-10-30,when i stop the vehicle and put in park  i cannot not turn car off or pull out key  i put car back in drive and drive a few feet forward or back  after putting in park again  i can then turn car off and pull key out  it is now  more   like every time i drive it  also  have trouble turning the key to start the car  have had   for several years  now its getting to be a regular problem  very  when you cannot turn the car off  and it will  get worse with snowy weather  a safety issue  i see there is a nhtsa safety    that lists this problem  it looks like an  problem with subarus  not sure why there is no recall,7,reclamation_garantie,0.9,electronique,impossibilité d'éteindre le moteur et de retirer la clé,elevee,True,True
,hyundai,kona,"came off the frwy and stopped and once i got back and accelerated the car began to make metal grinding sound from the engine drove immediately to the dealership that was less then quarter of a mile away.  i left it over night and was told the next day it was not safe to drive at all and there was no loaner cars or rental service.  5 days later a loaner was provided.  there was no warning light or alert sound for me to know there was something wrong. the car could had stopped on the frwy and caused a major accident.  the dealership determined the short block needed to replaced and took action to have it covered under warranty.  the car had 13,500 miles on it at the time and 30 days later a new short block was installed and completed with no extra warranty.",review,2024-06-10,came off the frwy and stopped and once i got back and  the car began to make metal  sound from the engine drove  to the  that was less then quarter of a mile away  i left it over night and was told the next day it was not safe to drive at all and there was no loaner cars or rental service    days later a loaner was   there was no warning light or alert sound for me to know there was  wrong  the car could had stopped on the frwy and caused a major   the   the short block needed to  and took action to have it covered under   the car had        miles on it at the time and    days later a new short block was  and  with no extra,2,reclamation_garantie,0.9,moteur,bruit métallique provenant du moteur,élevée,True,True
,honda,pilot,"while merging onto the highway going approximately 20mph, the car seized up, brought the car to a near stop and would not accelerate. it did this 3 times. no warning lights on the dash, no notice of something malfunctioning.   this car was built on august 19,2016. i purchased it on august 25 only 839 miles on it when incident occurred.",review,2024-06-25,while merging onto the highway going    mph  the car seized up  brought the car to a near stop and would not   it did this   times  no warning lights on the dash  no notice of    this car was built on august          i  it on august    only     miles on it when,2,reclamation_garantie,0.9,moteur,Le moteur se bloque lors de l'accélération sur l'autoroute.,elevee,True,True
,jeep,wrangler,"the current wranglers have a significant problem with steering. because jeep used aluminum steering box and gears, as opposed to steel, there is an unacceptable amount of ""play"" in the steering, specifically on center. while driving at 45mph or above, i can turn the wheel almost a full inch in either direction and the car does not respond at all. there other day i was on a highway with uneven pavement and had to slow down significantly because i could not control the car.    jeep has now issued a tsb replacing the aluminum box with a steel box. the vast majority of people having this tsb performed state it fixes the steering. i took my jeep into my dealership 3 weeks ago, while having jeepcares, the national customer service for fca, involved from the start.    first the dealership told me they couldn't do anything because i had an ""aftermarket"" lift. when i told then the lift was not aftermarket and is mopar, they demanded a receipt to prove it. i bought the lift over 1.5 years ago so no longer had a receipt. the issue was escalated up the corporate ladder multiple times until they finally agreed to replace the steering box under warranty. there had been instances of jeep owners coming in for this tsb but dealerships were not replacing the steering box with the steel version per the tsb, just putting in another aluminum box. that's exactly what happened to me.     the main point of this is this steering absolutely needs to be a recall. the dealerships are putting forth every effort not to do the work. and the problem is so bad that fca is only letting dealerships order 1 steering box per week, due to the overwhelming number of jeeps with dangerous steering and demand for the part.    there is much more information and i can upload document in my possession. any questions, feel free to call, [xxx].    information redacted pursuant to the freedom of information act (foia), 5 u.s.c. 552(b)(6).  *tr",review,2025-12-14,the current  have a  problem with   because jeep used   box and gears  as opposed to steel  there is an  amount of  play  in the    on center  while driving at   mph or above  i can turn the wheel almost a full inch in either  and the car does not respond at all  there other day i was on a highway with uneven  and had to slow down  because i could not control the car  jeep has now issued a tsb  the  box with a steel box  the vast  of people having this tsb  state it fixes the   i took my jeep into my    weeks ago  while having   the   service for fca   from the start  first the  told me they couldn t do  because i had an    lift  when i told then the lift was not  and is mopar  they  a receipt to prove it  i bought the lift over     years ago so no longer had a receipt  the issue was  up the  ladder  times until they finally agreed to replace the  box under   there had been  of jeep owners coming in for this tsb but  were not  the  box with the steel version per the tsb  just putting in another  box  that s exactly what  to me  the main point of this is this   needs to be a recall  the  are putting forth every effort not to do the work  and the problem is so bad that fca is only letting  order    box per week  due to the  number of jeeps with   and demand for the part  there is much more  and i can upload  in my   any   feel free to call   xxx      to the freedom of  act  foia     u s c      b       tr,5,reclamation_garantie,0.9,direction,jeu dans la direction à haute vitesse,elevee,True,True
,hyundai,tucson,"in between my last 3 oil changes i have “lost” all of my oil in my car. checked my oil randomly and there was no oil at all on the stick. after this last change i have checked it every week. i did not check for 2 weeks less than 1,000miles and it was below the low on the mark. obviously running out of oil while driving is not safe and can cause the engine to blow. this can cause a crash or fire. there have been numerous issues with this and the cars need recalled. this is ridiculous.",review,2024-08-17,in between my last   oil changes i have  lost  all of my oil in my car  checked my oil  and there was no oil at all on the stick  after this last change i have checked it every week  i did not check for   weeks less than    and it was below the low on the mark   running out of oil while driving is not safe and can cause the engine to blow  this can cause a crash or fire  there have been  issues with this and the cars need   this is,1,reclamation_garantie,0.9,moteur,perte totale d'huile dans le moteur,elevee,True,True
